Userid,Name,Email,Status,"Last seen location (latitude, longitude)",Time of day,Day of the week,Month,Weather,Academic calendar events,Building
uaiecaxpj,Sofia Rivera,rivera.8710@osu.edu,active,"40.000331, -83.009109",15:15,Sunday,November,Cloudy,Regular,wexner center
up9pw4ehp,Benjamin Adams,adams.2148@osu.edu,idle,"40.001692, -83.013492",19:45,Friday,November,Rain,Regular,18th Avenue library
uvbiktlpz,Jacob Perez,perez.5991@osu.edu,active,"39.998215, -83.011615",19:15,Saturday,April,Rain,Finals season,orton library
umktth3uq,Gianna Johnson,johnson.9238@osu.edu,active,"39.999493, -83.014385",23:00,Monday,April,Sunny,Regular,Thompson library
ulukapgi0,Carlos Smith,smith.1999@osu.edu,active,"39.999382, -83.015181",20:30,Thursday,January,Sunny,Regular,Thompson library
uuky7r7om,Elizabeth White,white.4151@osu.edu,active,"40.000518, -83.008920",09:00,Sunday,January,Snow,Regular,wexner center
u6mdqzoac,Gianna Young,young.464@osu.edu,active,"39.999562, -83.015449",14:00,Thursday,February,Rain,Regular,Thompson library
u4f4dga8w,Emily Harris,harris.2995@osu.edu,active,"39.999276, -83.014349",20:15,Wednesday,March,Rain,Midterms season,Thompson library
uslysq7mt,Juan Rodriguez,rodriguez.8889@osu.edu,active,"40.001112, -83.008840",13:15,Wednesday,September,Sunny,Regular,wexner center
uld9f5wgn,Michael Flores,flores.5912@osu.edu,active,"39.999344, -83.014711",19:15,Monday,March,Cloudy,Midterms season,Thompson library
u6ztxbl5s,Michael Martin,martin.5432@osu.edu,active,"39.999348, -83.014600",09:45,Sunday,November,Cloudy,Regular,Thompson library
ukxl8qnko,Juan Martin,martin.401@osu.edu,idle,"40.001700, -83.013396",19:30,Monday,October,Sunny,Regular,18th Avenue library
ulkq56j2n,Luna Wright,wright.756@osu.edu,idle,"40.001625, -83.013037",17:30,Friday,September,Sunny,Regular,18th Avenue library
uprmw7ntw,William Clark,clark.352@osu.edu,idle,"40.000492, -83.009173",20:15,Friday,January,Snow,Regular,wexner center
u030de0fm,Jackson Hall,hall.5216@osu.edu,idle,"39.999118, -83.015344",17:30,Tuesday,March,Cloudy,Midterms season,Thompson library
uhk3l3otc,Olivia White,white.5478@osu.edu,active,"40.001575, -83.013031",01:00,Monday,September,Sunny,Regular,18th Avenue library
us66cxvr8,Santiago Harris,harris.8654@osu.edu,active,"39.999304, -83.014508",16:30,Thursday,November,Cloudy,Regular,Thompson library
uha8j7335,Andrea Martin,martin.9734@osu.edu,idle,"40.001871, -83.013071",18:15,Monday,May,Cloudy,Regular,18th Avenue library
uy5pf3u8v,Olivia Carter,carter.5294@osu.edu,idle,"39.997743, -83.008862",17:00,Tuesday,November,Sunny,Regular,Ohio Union
uxibl09pv,Carlos Nelson,nelson.8027@osu.edu,active,"40.000655, -83.008684",16:45,Saturday,March,Rain,Midterms season,wexner center
uunyiduo3,Harper Baker,baker.3711@osu.edu,active,"39.997174, -83.008587",08:45,Thursday,February,Cloudy,Regular,Ohio Union
unu25djjl,Michael Martin,martin.9324@osu.edu,idle,"39.998394, -83.011995",18:00,Wednesday,April,Rain,Regular,orton library
uwx0wi5jg,Charlotte Jackson,jackson.2074@osu.edu,active,"40.001640, -83.013190",18:30,Tuesday,September,Sunny,Regular,18th Avenue library
uwl3zlaa8,Camila Harris,harris.2757@osu.edu,active,"39.999157, -83.015220",19:45,Wednesday,August,Sunny,Regular,Thompson library
u4v4dd60o,Luna Taylor,taylor.705@osu.edu,idle,"40.001499, -83.013492",10:00,Saturday,March,Sunny,Midterms season,18th Avenue library
ugygou50l,Aiden Clark,clark.4426@osu.edu,idle,"39.999313, -83.015070",23:00,Monday,September,Sunny,Regular,Thompson library
u93wdilcq,Natalia Jackson,jackson.8984@osu.edu,active,"40.000261, -83.009372",15:00,Monday,February,Sunny,Regular,wexner center
uuj3kjict,Maria Jackson,jackson.2335@osu.edu,active,"40.001650, -83.013083",16:45,Monday,July,Cloudy,Regular,18th Avenue library
uqgheygk4,Liam Jackson,jackson.7259@osu.edu,active,"39.998470, -83.011687",10:45,Monday,November,Rain,Regular,orton library
u8fsca3c6,Liam Hall,hall.52@osu.edu,idle,"39.998139, -83.012085",16:15,Sunday,March,Rain,Regular,orton library
ukesgowbs,Michael Jones,jones.541@osu.edu,active,"40.001622, -83.013629",18:30,Tuesday,November,Rain,Regular,18th Avenue library
usgj4zela,James Rivera,rivera.2549@osu.edu,idle,"39.998497, -83.009208",13:30,Sunday,April,Sunny,Finals season,Ohio Union
uy234fud2,Santiago Carter,carter.3649@osu.edu,idle,"39.999456, -83.014983",10:15,Sunday,January,Snow,Regular,Thompson library
uyqmhk2vp,Harper Walker,walker.4115@osu.edu,active,"39.999323, -83.015119",00:15,Sunday,January,Snow,Regular,Thompson library
ubqw3il0d,Juan Nguyen,nguyen.7517@osu.edu,active,"39.998353, -83.011923",19:15,Wednesday,March,Rain,Regular,orton library
uvqhns917,Jack Wilson,wilson.1696@osu.edu,active,"40.000696, -83.008986",19:30,Thursday,May,Sunny,Regular,wexner center
u7k88pdl4,Natalia Walker,walker.1132@osu.edu,idle,"40.001755, -83.013234",09:45,Wednesday,April,Rain,Regular,18th Avenue library
u1niis686,Daniel Wright,wright.6684@osu.edu,active,"39.997817, -83.008967",15:45,Wednesday,July,Cloudy,Regular,Ohio Union
u3zlgu463,Mia Carter,carter.6479@osu.edu,idle,"39.998406, -83.008440",16:00,Friday,January,Snow,Regular,Ohio Union
u4m6skpsp,Carlos Flores,flores.8921@osu.edu,idle,"40.001541, -83.013216",17:15,Tuesday,June,Sunny,Regular,18th Avenue library
uc81zf0ns,Alexander Lewis,lewis.2932@osu.edu,active,"39.998221, -83.011718",05:30,Friday,November,Rain,Regular,orton library
ufzfnadx6,Henry Torres,torres.9838@osu.edu,idle,"39.999240, -83.014568",20:15,Wednesday,March,Sunny,Midterms season,Thompson library
ur6c2fhl1,Valentina Walker,walker.3878@osu.edu,active,"39.998198, -83.011861",18:45,Tuesday,September,Rain,Regular,orton library
ukkz80p3j,Jackson Smith,smith.4927@osu.edu,active,"39.999358, -83.014698",18:30,Wednesday,October,Rain,Midterms season,Thompson library
u13oqf1z5,Alexander Harris,harris.2578@osu.edu,active,"39.999324, -83.014410",15:00,Sunday,November,Cloudy,Regular,Thompson library
uf76itdn7,Isabella Wright,wright.507@osu.edu,active,"40.001821, -83.013157",09:15,Sunday,November,Cloudy,Regular,18th Avenue library
uf87kp9qv,Sebastian Robinson,robinson.6376@osu.edu,active,"40.001020, -83.009239",16:30,Tuesday,August,Sunny,Regular,wexner center
uufmgm4ff,Isabella Wright,wright.2319@osu.edu,idle,"39.998232, -83.011727",14:45,Wednesday,October,Sunny,Regular,orton library
u9hq2gs5s,Elijah Thompson,thompson.6822@osu.edu,idle,"39.999402, -83.015376",09:30,Friday,May,Sunny,Regular,Thompson library
uc109p19m,Aiden Lee,lee.4604@osu.edu,idle,"40.003588, -83.017464",17:00,Sunday,March,Cloudy,Regular,Knowlton Hall
uz1tq88zp,Aiden Rivera,rivera.4396@osu.edu,active,"39.997413, -83.008076",12:45,Monday,May,Sunny,Finals season,Ohio Union
u98tsx3vj,Jacob Torres,torres.2328@osu.edu,idle,"39.999261, -83.014436",15:30,Tuesday,October,Rain,Midterms season,Thompson library
u9a9y2wdx,Juan Thompson,thompson.9900@osu.edu,active,"40.001538, -83.013290",19:45,Wednesday,November,Cloudy,Regular,18th Avenue library
u563ci3v7,Olivia Scott,scott.4211@osu.edu,active,"40.001819, -83.013369",15:15,Tuesday,November,Sunny,Regular,18th Avenue library
udd9p9wcd,Mateo Young,young.1010@osu.edu,active,"39.998438, -83.008839",20:00,Friday,March,Cloudy,Regular,Ohio Union
udmdxla8r,Jacob Wilson,wilson.8849@osu.edu,idle,"40.001709, -83.013123",16:45,Monday,July,Sunny,Regular,18th Avenue library
uh48d6692,Emma Flores,flores.4949@osu.edu,idle,"40.003702, -83.016802",06:45,Friday,December,Snow,Regular,Knowlton Hall
u0ssca1pa,Mateo Gonzalez,gonzalez.9505@osu.edu,idle,"39.999351, -83.014476",05:15,Wednesday,October,Sunny,Regular,Thompson library
us6tpexnx,Emily Williams,williams.5279@osu.edu,active,"40.003840, -83.016112",12:15,Saturday,September,Cloudy,Regular,Knowlton Hall
uqghu53eg,Camila Nguyen,nguyen.2967@osu.edu,active,"39.998633, -83.008772",13:45,Tuesday,August,Rain,Regular,Ohio Union
u6a8lqjbv,Abigail Lee,lee.6940@osu.edu,active,"39.997558, -83.008791",12:00,Sunday,April,Rain,Regular,Ohio Union
uffw1doty,Natalia Adams,adams.3132@osu.edu,active,"39.998384, -83.011836",20:15,Thursday,September,Sunny,Regular,orton library
u2szlpgrg,Elizabeth Perez,perez.4203@osu.edu,active,"39.998375, -83.011650",19:45,Thursday,August,Rain,Regular,orton library
utfgah67e,Harper Miller,miller.7348@osu.edu,active,"39.999124, -83.015195",15:45,Wednesday,August,Sunny,Regular,Thompson library
udtrqx4u0,Henry Johnson,johnson.2351@osu.edu,active,"40.001746, -83.013364",14:45,Monday,September,Cloudy,Regular,18th Avenue library
u6cvxm92y,Emma Thomas,thomas.7111@osu.edu,idle,"40.001828, -83.013634",18:00,Tuesday,February,Snow,Regular,18th Avenue library
u2tug4d8j,Abigail Flores,flores.8404@osu.edu,active,"39.998379, -83.009017",11:15,Wednesday,September,Sunny,Regular,Ohio Union
u6xnf8c7j,Aiden Johnson,johnson.7444@osu.edu,active,"39.999180, -83.014664",17:00,Wednesday,September,Sunny,Regular,Thompson library
umy3gr3pd,Evelyn Young,young.7467@osu.edu,active,"39.997888, -83.008548",13:45,Friday,April,Cloudy,Finals season,Ohio Union
ucydufvoo,Emma Williams,williams.9039@osu.edu,active,"39.999035, -83.015199",16:00,Wednesday,December,Cloudy,Finals season,Thompson library
uykcu40kl,Sebastian Miller,miller.4174@osu.edu,active,"40.001433, -83.009862",17:15,Sunday,February,Snow,Regular,wexner center
uoztgluyx,Henry Lee,lee.778@osu.edu,active,"40.001852, -83.013399",20:30,Thursday,October,Sunny,Midterms season,18th Avenue library
ue1u5l7u8,Abigail Lopez,lopez.2984@osu.edu,active,"39.999070, -83.015181",05:00,Wednesday,November,Cloudy,Regular,Thompson library
udo1e1947,Aiden Martin,martin.4348@osu.edu,active,"40.003527, -83.016260",18:15,Wednesday,September,Rain,Regular,Knowlton Hall
u1mh0g4ql,Valentina King,king.3503@osu.edu,active,"39.999422, -83.014857",15:45,Wednesday,March,Rain,Regular,Thompson library
ubsmt3oug,Lorenzo Walker,walker.8082@osu.edu,idle,"40.001485, -83.013399",14:30,Friday,April,Rain,Regular,18th Avenue library
ux8kxtxr7,Henry Nelson,nelson.7077@osu.edu,idle,"40.001518, -83.013445",20:00,Tuesday,April,Rain,Regular,18th Avenue library
u4lmz7ndd,Maria Anderson,anderson.4530@osu.edu,active,"39.999012, -83.015239",22:00,Thursday,November,Cloudy,Regular,Thompson library
umse2btng,Charlotte Martin,martin.9462@osu.edu,active,"40.001784, -83.013480",07:00,Tuesday,September,Cloudy,Regular,18th Avenue library
u79un0r1o,Santiago Thompson,thompson.7996@osu.edu,idle,"40.001832, -83.013513",08:00,Wednesday,December,Sunny,Finals season,18th Avenue library
uyyxztctw,Elizabeth Davis,davis.9947@osu.edu,active,"40.000680, -83.008695",01:15,Thursday,March,Rain,Midterms season,wexner center
u2psnm3nr,Aiden Hernandez,hernandez.5821@osu.edu,idle,"39.999011, -83.014759",15:30,Sunday,October,Sunny,Midterms season,Thompson library
uw9h3qr44,Gianna Carter,carter.9898@osu.edu,idle,"39.999590, -83.014764",01:45,Monday,November,Rain,Regular,Thompson library
usf4auhkw,Noah Hill,hill.1567@osu.edu,active,"40.001771, -83.013486",10:00,Tuesday,April,Sunny,Regular,18th Avenue library
undbz9ox7,Michael Baker,baker.1812@osu.edu,active,"40.001654, -83.013550",13:45,Friday,November,Cloudy,Regular,18th Avenue library
un1d0lmn2,Noah Gonzalez,gonzalez.3334@osu.edu,active,"40.000369, -83.008567",09:45,Sunday,January,Cloudy,Regular,wexner center
uhlep9yqo,Emily Thomas,thomas.2218@osu.edu,active,"39.998454, -83.012183",17:15,Monday,September,Sunny,Regular,orton library
uhv6g4g88,Liam Anderson,anderson.7300@osu.edu,active,"39.999620, -83.014588",08:30,Tuesday,September,Sunny,Regular,Thompson library
u8j5eobwk,Logan Lopez,lopez.9830@osu.edu,active,"40.001011, -83.009714",17:45,Tuesday,November,Rain,Regular,wexner center
umilnv1zi,Michael Nguyen,nguyen.3619@osu.edu,idle,"39.998390, -83.011707",12:00,Saturday,February,Cloudy,Regular,orton library
uoywj4kbf,Carlos Martin,martin.2960@osu.edu,active,"39.998293, -83.011635",14:30,Sunday,March,Rain,Regular,orton library
u92k3ivy9,Emily Ramirez,ramirez.2141@osu.edu,active,"39.997186, -83.008247",18:15,Saturday,May,Sunny,Regular,Ohio Union
umfu3kdb2,Natalia Williams,williams.3963@osu.edu,active,"39.998283, -83.011771",18:15,Friday,July,Sunny,Regular,orton library
uo1aqnvoi,Natalia Carter,carter.4328@osu.edu,active,"39.998373, -83.011809",10:15,Friday,March,Sunny,Midterms season,orton library
ugy3joybo,Elizabeth Carter,carter.5583@osu.edu,active,"40.000097, -83.008752",16:00,Tuesday,October,Cloudy,Midterms season,wexner center
u0ux1upxw,James Robinson,robinson.9244@osu.edu,idle,"39.999373, -83.014370",22:00,Sunday,April,Rain,Finals season,Thompson library
u9vcqv8x0,Natalia Roberts,roberts.4325@osu.edu,active,"39.998475, -83.011991",16:15,Sunday,March,Rain,Regular,orton library
uxjorzsuv,Charlotte Sanchez,sanchez.3410@osu.edu,active,"40.001737, -83.013135",11:00,Monday,April,Cloudy,Regular,18th Avenue library
u7ex6tpz2,Ava Thomas,thomas.7916@osu.edu,active,"40.001740, -83.013574",14:30,Thursday,January,Cloudy,Regular,18th Avenue library
uuuxsn08x,Carlos Smith,smith.825@osu.edu,active,"39.999134, -83.015209",09:30,Monday,March,Rain,Midterms season,Thompson library
u8n4bc8xf,Sophia Martin,martin.1920@osu.edu,idle,"40.000431, -83.008953",09:45,Wednesday,June,Sunny,Regular,wexner center
u6vzesiwd,Liam Walker,walker.3414@osu.edu,active,"39.999119, -83.014301",12:00,Thursday,March,Rain,Midterms season,Thompson library
ulbwdpx83,Alexander Lewis,lewis.8820@osu.edu,idle,"40.003652, -83.015943",18:30,Tuesday,March,Rain,Midterms season,Knowlton Hall
uhe6be963,Isabella Carter,carter.4136@osu.edu,idle,"39.998259, -83.012119",22:45,Tuesday,July,Cloudy,Regular,orton library
uzc4a4odn,Logan Lopez,lopez.5297@osu.edu,idle,"39.998128, -83.008805",09:30,Friday,July,Sunny,Regular,Ohio Union
urxuq5m5i,Sophia Martin,martin.5644@osu.edu,active,"40.001611, -83.013302",13:30,Thursday,April,Sunny,Regular,18th Avenue library
ut12dptpx,Evelyn Lopez,lopez.7632@osu.edu,idle,"40.001508, -83.013295",21:45,Thursday,November,Rain,Regular,18th Avenue library
u6ngva2gc,Gianna Rodriguez,rodriguez.2368@osu.edu,active,"40.003464, -83.017392",09:30,Monday,March,Rain,Midterms season,Knowlton Hall
u79b4m8jr,Camila Roberts,roberts.8512@osu.edu,active,"39.999424, -83.014472",17:15,Friday,November,Cloudy,Regular,Thompson library
udcvh6fmc,Sofia Miller,miller.479@osu.edu,active,"39.998447, -83.012018",10:45,Sunday,May,Rain,Regular,orton library
uucsujarf,Carlos King,king.7238@osu.edu,active,"39.998292, -83.011853",08:00,Friday,October,Sunny,Midterms season,orton library
u4mw4994j,Alexander Torres,torres.4267@osu.edu,active,"40.001541, -83.013065",14:15,Monday,March,Sunny,Regular,18th Avenue library
uwr041a4m,Alexander Rodriguez,rodriguez.9055@osu.edu,active,"39.999260, -83.015270",15:45,Tuesday,April,Sunny,Finals season,Thompson library
u62l6xtzr,Elizabeth Gonzalez,gonzalez.2623@osu.edu,active,"39.999012, -83.015142",16:15,Wednesday,September,Sunny,Regular,Thompson library
uf0y90ltu,Carlos Smith,smith.3539@osu.edu,active,"40.001195, -83.009429",05:00,Tuesday,February,Snow,Regular,wexner center
u081d9bja,Henry Baker,baker.4254@osu.edu,idle,"40.003761, -83.016970",05:45,Saturday,October,Sunny,Midterms season,Knowlton Hall
ue4lc9cwv,Elijah Smith,smith.2494@osu.edu,active,"40.001634, -83.013506",08:00,Thursday,March,Cloudy,Midterms season,18th Avenue library
ucv1c2vrr,Jack Martinez,martinez.8290@osu.edu,idle,"39.998189, -83.012097",16:30,Tuesday,September,Cloudy,Regular,orton library
uhwjzyj5p,Logan Torres,torres.807@osu.edu,active,"39.999550, -83.014884",19:15,Wednesday,September,Cloudy,Regular,Thompson library
uztyq6qsd,Henry Brown,brown.989@osu.edu,active,"39.998469, -83.011915",20:30,Friday,November,Rain,Regular,orton library
umqsn443w,Lorenzo Nguyen,nguyen.7657@osu.edu,active,"40.001549, -83.013030",13:00,Wednesday,October,Cloudy,Midterms season,18th Avenue library
ulz855wm5,Gianna Williams,williams.9434@osu.edu,idle,"40.001701, -83.013065",22:00,Thursday,October,Sunny,Regular,18th Avenue library
u46bf270y,Diego Anderson,anderson.5320@osu.edu,idle,"39.999587, -83.014807",05:00,Tuesday,April,Sunny,Finals season,Thompson library
uqihip2cr,Santiago Martinez,martinez.8378@osu.edu,active,"40.003663, -83.016333",17:30,Wednesday,March,Sunny,Midterms season,Knowlton Hall
ur1hayi6o,Jackson Wilson,wilson.8849@osu.edu,active,"40.003365, -83.017486",17:00,Sunday,January,Sunny,Regular,Knowlton Hall
ul83v8994,Ava Young,young.6153@osu.edu,active,"39.998454, -83.012015",10:45,Wednesday,May,Cloudy,Finals season,orton library
uwcjx3ml4,Charlotte King,king.760@osu.edu,active,"39.998241, -83.011726",18:00,Wednesday,October,Rain,Midterms season,orton library
uknvna8cj,Avery King,king.481@osu.edu,active,"39.998456, -83.011727",17:30,Wednesday,January,Cloudy,Regular,orton library
ukkyz9d6o,Liam King,king.5732@osu.edu,idle,"39.999490, -83.015422",14:45,Thursday,October,Sunny,Regular,Thompson library
u5u6sgfz2,Gabriel Thomas,thomas.2470@osu.edu,idle,"39.998473, -83.011775",17:30,Tuesday,October,Sunny,Midterms season,orton library
ukelfxo65,Juan Martinez,martinez.3877@osu.edu,active,"40.003788, -83.016974",08:45,Monday,November,Cloudy,Regular,Knowlton Hall
u4wj8u0ru,Amelia Mitchell,mitchell.3665@osu.edu,idle,"40.000473, -83.008629",17:30,Wednesday,December,Snow,Finals season,wexner center
u1salgoxy,Jacob Baker,baker.5587@osu.edu,idle,"40.000496, -83.009240",13:15,Saturday,May,Sunny,Regular,wexner center
u1aqq01tm,Valentina Lopez,lopez.5566@osu.edu,active,"40.001812, -83.013178",11:00,Wednesday,April,Sunny,Regular,18th Avenue library
upoylejsl,Alexander Hernandez,hernandez.6441@osu.edu,active,"39.999152, -83.015211",12:15,Wednesday,February,Rain,Regular,Thompson library
urkgrs54o,William Anderson,anderson.2709@osu.edu,active,"39.998025, -83.008658",11:30,Monday,September,Rain,Regular,Ohio Union
ubkh6zbgp,Noah Johnson,johnson.9854@osu.edu,idle,"40.001801, -83.013383",20:45,Saturday,January,Cloudy,Regular,18th Avenue library
uubhpe0rc,Carlos Baker,baker.5206@osu.edu,active,"40.001077, -83.008992",14:15,Thursday,May,Sunny,Regular,wexner center
ua10uoz25,Jack Walker,walker.7306@osu.edu,active,"40.003856, -83.016757",09:00,Wednesday,June,Cloudy,Regular,Knowlton Hall
uii5mmrdq,Emily White,white.2125@osu.edu,active,"39.997215, -83.008544",08:15,Sunday,March,Rain,Regular,Ohio Union
ue11wrhp9,Juan Jackson,jackson.8049@osu.edu,idle,"39.998315, -83.011615",10:30,Monday,March,Cloudy,Midterms season,orton library
uxq29scq9,James Baker,baker.3328@osu.edu,active,"39.999585, -83.015085",20:00,Saturday,November,Cloudy,Regular,Thompson library
u9evcb20u,Ella Brown,brown.4019@osu.edu,idle,"39.998397, -83.011724",06:00,Monday,November,Cloudy,Regular,orton library
utnrqgr95,Natalia Lewis,lewis.850@osu.edu,active,"40.001782, -83.013475",20:30,Wednesday,January,Snow,Regular,18th Avenue library
uaole57mk,Diego Garcia,garcia.5269@osu.edu,active,"39.999352, -83.015421",13:00,Monday,February,Cloudy,Regular,Thompson library
uonz8qh0b,Avery Nelson,nelson.8559@osu.edu,active,"40.001838, -83.013385",18:15,Friday,September,Cloudy,Regular,18th Avenue library
ubsecdcyy,Elijah Garcia,garcia.935@osu.edu,idle,"40.001320, -83.008940",17:30,Sunday,September,Cloudy,Regular,wexner center
ualyxgh1j,Elizabeth Moore,moore.1@osu.edu,active,"39.998296, -83.012109",19:00,Thursday,November,Cloudy,Regular,orton library
urp0r6fi5,Ella Sanchez,sanchez.1868@osu.edu,active,"40.001478, -83.013415",17:30,Monday,October,Sunny,Regular,18th Avenue library
uiphpwl5b,Santiago Martinez,martinez.4151@osu.edu,idle,"40.001722, -83.013145",11:15,Wednesday,October,Sunny,Midterms season,18th Avenue library
uozzd32aa,Abigail Hernandez,hernandez.449@osu.edu,active,"40.000746, -83.009190",14:00,Saturday,August,Rain,Regular,wexner center
uubl9dko2,Sofia White,white.7892@osu.edu,active,"39.998280, -83.011821",05:45,Tuesday,November,Rain,Regular,orton library
ui5eh8vl0,Isabella Harris,harris.6966@osu.edu,idle,"39.999287, -83.015216",14:30,Monday,August,Cloudy,Regular,Thompson library
u5r4zzp56,Ethan Lee,lee.252@osu.edu,idle,"40.001638, -83.013112",16:00,Sunday,March,Rain,Regular,18th Avenue library
uz031h6pg,Valentina Taylor,taylor.563@osu.edu,active,"40.001596, -83.013556",08:15,Monday,July,Sunny,Regular,18th Avenue library
uuf6maehd,Emily King,king.566@osu.edu,idle,"39.998235, -83.011590",23:45,Sunday,October,Sunny,Regular,orton library
u179hrzu0,Gianna Lewis,lewis.7004@osu.edu,active,"39.998405, -83.008838",17:00,Sunday,March,Rain,Regular,Ohio Union
u33avfh0b,James Moore,moore.4526@osu.edu,active,"40.001508, -83.013322",08:15,Monday,April,Rain,Regular,18th Avenue library
urcgb5rtg,Luna Gonzalez,gonzalez.5935@osu.edu,idle,"39.999568, -83.014675",15:45,Thursday,April,Rain,Regular,Thompson library
ug7utrq8n,Emily Thompson,thompson.1612@osu.edu,idle,"40.001667, -83.013607",23:30,Sunday,March,Rain,Midterms season,18th Avenue library
uz90yl9jl,Juan Martin,martin.6078@osu.edu,active,"40.003829, -83.016438",20:45,Sunday,December,Sunny,Finals season,Knowlton Hall
uypu64kzz,Sebastian Moore,moore.5387@osu.edu,idle,"39.999575, -83.015241",09:30,Tuesday,March,Rain,Midterms season,Thompson library
u9j5mwabv,Avery Mitchell,mitchell.9625@osu.edu,active,"39.999130, -83.014573",18:45,Tuesday,October,Sunny,Midterms season,Thompson library
uuvdkb858,Ava Walker,walker.9666@osu.edu,active,"40.001015, -83.009201",11:15,Saturday,March,Cloudy,Midterms season,wexner center
u2occcewh,Michael Flores,flores.516@osu.edu,idle,"40.000289, -83.008771",12:00,Wednesday,May,Cloudy,Regular,wexner center
upl5x6w6x,Sophia Hall,hall.8923@osu.edu,active,"39.999441, -83.014770",15:15,Wednesday,February,Cloudy,Regular,Thompson library
uprazwfyx,Maria Sanchez,sanchez.1510@osu.edu,idle,"39.997832, -83.008789",12:45,Tuesday,October,Cloudy,Midterms season,Ohio Union
u9g8ux1l7,Luna Hernandez,hernandez.5241@osu.edu,active,"40.001748, -83.013112",21:15,Wednesday,August,Sunny,Regular,18th Avenue library
uu59rio9h,Jacob Green,green.2548@osu.edu,idle,"39.997248, -83.008636",09:00,Friday,March,Rain,Midterms season,Ohio Union
u3dt1vro3,Sophia Lewis,lewis.6362@osu.edu,idle,"40.001668, -83.013550",15:00,Thursday,April,Rain,Finals season,18th Avenue library
uh3cvatj0,Natalia Perez,perez.6394@osu.edu,active,"40.000927, -83.008920",19:00,Sunday,January,Sunny,Regular,wexner center
up5g041ao,Sofia Torres,torres.5262@osu.edu,active,"39.998259, -83.012112",13:30,Thursday,October,Sunny,Regular,orton library
uul1eooav,Maria Harris,harris.2482@osu.edu,active,"39.997674, -83.009240",09:15,Thursday,November,Cloudy,Regular,Ohio Union
u8y6ilh7a,Valentina Sanchez,sanchez.7850@osu.edu,active,"39.999082, -83.015018",16:00,Wednesday,May,Cloudy,Finals season,Thompson library
unc41hbtv,Gabriel Hernandez,hernandez.3762@osu.edu,active,"40.001600, -83.013042",13:15,Wednesday,August,Cloudy,Regular,18th Avenue library
ubnsevem0,Michael Rodriguez,rodriguez.6504@osu.edu,idle,"39.999189, -83.014829",15:00,Sunday,March,Rain,Regular,Thompson library
uxa4gzbo4,Gabriel Martin,martin.2526@osu.edu,active,"39.998240, -83.011730",19:30,Wednesday,October,Cloudy,Midterms season,orton library
uujsqhngp,Jack Allen,allen.7840@osu.edu,idle,"39.999620, -83.014554",20:45,Monday,January,Snow,Regular,Thompson library
ugia28jfn,Evelyn Carter,carter.2442@osu.edu,active,"40.001086, -83.008704",20:45,Friday,October,Rain,Midterms season,wexner center
unrlrgz3n,Mateo Martin,martin.6668@osu.edu,idle,"40.001369, -83.009606",13:15,Sunday,January,Cloudy,Regular,wexner center
u9s4n5p1o,Jackson Carter,carter.1440@osu.edu,active,"39.998347, -83.011828",17:30,Monday,February,Cloudy,Regular,orton library
u1bqz9xtc,Lucas Lopez,lopez.4005@osu.edu,active,"39.999130, -83.014341",19:15,Thursday,May,Cloudy,Regular,Thompson library
umwsnqs5e,Gabriel Garcia,garcia.3978@osu.edu,active,"40.003475, -83.017323",14:00,Wednesday,November,Cloudy,Regular,Knowlton Hall
ukz8lq89q,Gianna Taylor,taylor.1918@osu.edu,idle,"39.999126, -83.014912",20:15,Sunday,November,Rain,Regular,Thompson library
uib6t4wr7,Sebastian Williams,williams.2147@osu.edu,active,"40.001356, -83.010034",20:45,Tuesday,September,Cloudy,Regular,wexner center
u3ucbiwpe,Noah Adams,adams.9596@osu.edu,active,"40.001719, -83.013079",09:45,Thursday,October,Cloudy,Regular,18th Avenue library
uwex7ws9f,Emily Anderson,anderson.843@osu.edu,active,"40.001767, -83.013146",17:00,Wednesday,December,Snow,Finals season,18th Avenue library
ut3eigut8,Oliver Carter,carter.1948@osu.edu,active,"40.001563, -83.013418",05:45,Tuesday,January,Snow,Regular,18th Avenue library
u14za350f,Gabriel Lopez,lopez.6666@osu.edu,active,"39.998318, -83.011714",15:15,Monday,January,Snow,Regular,orton library
u5wnv7xp9,Juan Gonzalez,gonzalez.1751@osu.edu,active,"40.001708, -83.013263",01:45,Monday,November,Rain,Regular,18th Avenue library
uc0f6d42u,Oliver Garcia,garcia.3884@osu.edu,active,"39.998193, -83.012013",17:30,Tuesday,May,Rain,Finals season,orton library
u8ziyow75,Maria Martinez,martinez.6207@osu.edu,active,"39.998171, -83.011780",07:30,Thursday,March,Sunny,Regular,orton library
uzq3qiffj,Emily Adams,adams.5709@osu.edu,active,"39.998174, -83.011889",13:30,Sunday,April,Cloudy,Finals season,orton library
utr9wybjw,Amelia Clark,clark.5289@osu.edu,idle,"39.999520, -83.014601",23:15,Thursday,February,Cloudy,Regular,Thompson library
ufcgesffe,Aiden Thompson,thompson.7921@osu.edu,active,"40.001515, -83.013234",09:45,Tuesday,March,Sunny,Regular,18th Avenue library
u4jwtnoj5,Benjamin Lewis,lewis.7429@osu.edu,active,"39.999303, -83.015018",12:45,Wednesday,November,Cloudy,Regular,Thompson library
uq6byltoi,Evelyn Adams,adams.7486@osu.edu,active,"40.001528, -83.013117",17:00,Tuesday,March,Cloudy,Midterms season,18th Avenue library
urcjsyaxh,Sophia Adams,adams.9163@osu.edu,active,"40.003733, -83.016288",10:00,Wednesday,August,Cloudy,Regular,Knowlton Hall
